name,genetics,type,thc,cbg,cbd,thcv,terp_total,terp_1,terp_1_percentage,terp_2,terp_2_percentage,terp_3,terp_3_percentage,effects,nose,flavor,batch_lot,season,product_type,status
Lemon Oreoz,Monkey Spunk x Lemon Oreoz,Indica,35.30,1.86,,,1.11,b-Caryophyllene,0.35,Limonene,0.65,b-Myrcene,0.19,"Relaxing, Potent, Body High","Zesty lemon with a rich, creamy funk","Vibrant citrus notes with hints of sweet earthiness",,ss25,Flower,
Wafflez,Apple Fritter x Stuff French Toast,Indica,29.78,,1,,1.97,b-Caryophyllene,0.76,Limonene,0.60,b-Myrcene,0.27,"Relaxing, Happy, Comforting","Sweet pastry with subtle cinnamon and fruit undertones","Warm, buttery dessert notes with hints of apple and spice",,ss25,Flower,
Wafflez,Apple Fritter x Stuff French Toast,Indica,27.27,0.98,,,2.52,b-Caryophyllene,0.76,Limonene,0.61,b-Myrcene,0.26,"Relaxing, Happy, Comforting","Sweet pastry with subtle cinnamon and fruit undertones","Warm, buttery dessert notes with hints of apple and spice",SW031725-J35-WZ,ss25,Flower,IN-STOCK
Sherb Cream Pie,Ice Cream Cake x Sherb BX1,Indica,28.74,0.6,,,2.26,b-Caryophyllene,1.12,Limonene,0.80,Linalool,0.32,"Relaxing, Euphoric, Sleepy","Rich, sweet cream with a hint of earthiness","Creamy vanilla and sweet berry notes with a smooth finish",,ss25,Flower,
PB Gelato,PB Cookies x Starfighter x SC x Gelato,Indica,35.50,,,,2.19,Limonene,0.67,b-Caryophyllene,0.68,Linalool,0.28,"Very Potent, Relaxing, Happy","Roasted peanut butter with a sweet and fruity undertone","Nutty, creamy, and sweet with a gelato-like smoothness",,ss25,Flower,
Kept Secret,Jealousy x Oreoz,Hybrid,29.05,1,,,1.56,Limonene,0.55,b-Caryophyllene,0.49,a-humene,0.12,"Balanced, Euphoric, Relaxing","Herbal and citrusy with a hint of creamy sweetness","Subtle citrus with earthy and herbal notes",,ss25,Flower,
Charmz,Lemon Cherry Gelato x Zlushiez,Hybrid,30.78,2,,,1.63,b-Myrcene,0.49,b-Caryophyllene,0.39,Limonene,0.34,"Happy, Creative, Balanced Relaxation","Sweet berries with a citrusy, candy-like aroma","Bright, fruity flavors with lemon and cherry highlights",,ss25,Flower,
Stay Puft,Grape Gasoline x Marshmallow OG,Hybrid,28.38,1.5,,,2.44,b-Myrcene,1.30,Limonene,0.56,b-Caryophyllene,0.27,"Relaxing, mood-enhancing","Rich grape, sugary marshmallow scent","Sweet grape with creamy undertones",,ss25,Flower,
41 Gs,Gelato 41 x Gary Payton,Hybrid,31.92,1,,1,2.19,b-Caryophyllene,0.59,b-Myrcene,0.58,Limonene,0.42,"Potent, Balanced, Euphoric","Sweet & creamy with citrus/gas","Dessert-like citrus, creamy/gassy",,ss25,Flower,
Garlic Gravity,Garlatti x Zero Gravity,Sativa,24.14,0.5,,,2.61,Limonene,1.03,b-Myrcene,0.95,b-Caryophyllene,0.90,"Focused, Creative, Uplifting","Pungent garlic, earthy/gassy","Savory, herbal, spicy/creamy finish",,ss25,Flower,
41 Gs,Gelato 41 x Gary Payton,Hybrid,27.82,0.72,,,2.11,b-Myrcene,0.56,b-Caryophyllene,0.55,Limonene,0.42,"Potent, Balanced, Euphoric","Sweet & creamy with citrus/gas","Dessert-like citrus, creamy/gassy",H-040725-F3-41G,,Flower,IN-STOCK
Peanut Butter Gelato,PB Cookies x Starfighter x SC x Gelato,Indica,26.97,0.8,,,3.54,Limonene,1.18,b-Caryophyllene,0.70,b-Myrcene,0.36,"Very Potent, Relaxing, Happy","Roasted peanut butter with a sweet and fruity undertone","Nutty, creamy, and sweet with a gelato-like smoothness",SW042825-J35-PBG,,Flower,IN-STOCK
Sherb Cream Pie,Ice Cream Cake x Sherb BX1,Indica,23.72,0.56,,,2.94,b-Caryophyllene,1.13,Limonene,0.79,Linalool,0.32,"Relaxing, Euphoric, Sleepy","Rich, sweet cream with a hint of earthiness","Creamy vanilla and sweet berry notes with a smooth finish",SW031725-J35-SCP,,Flower,IN-STOCK
Garlic Gravity,Garlatti x Zero Gravity,Sativa,26.89,,,1.03,3.75,b-Myrcene,1.03,Limonene,0.95,b-Caryophyllene,0.89,"Focused, Creative, Uplifting","Pungent garlic, earthy/gassy","Savory, herbal, spicy/creamy finish",SW031725-J35-GG,,Flower,IN-STOCK
Gushcanna,Gushers x Tropicana,Sativa,23.96,1.36,,,2.12,b-Caryophyllene,0.86,Limonene,0.38,a-humene,0.23,"Uplifting, Energetic, Creative","Fruity, tropical, slightly floral","Tropical citrus, candy sweetness",SW3725J-GC,,Flower,IN-STOCK
Dirt N Worms,Gummy Worms x Quicksand,Hybrid,23.83,0.85,,,1.40,Limonene,0.53,b-Caryophyllene,0.41,Linalool,0.13,"Mellow, Euphoric, Creative","Earthy with fruity candy twist","Earthy sweetness, fruity candy hints",SW3725J-DNW,,Flower,IN-STOCK
Stay Puft,Grape Gasoline x Marshmallow OG,Hybrid,32.07,1.35,,,3.94,b-Myrcene,2.15,Limonene,0.89,b-Caryophyllene,0.27,"Relaxing, mood-enhancing","Rich grape, sugary marshmallow scent","Sweet grape with creamy undertones",SW042825-J35-SP,,Flower,IN-STOCK
Melted Strawberries,GMO x Strawberry Guava,Sativa,34.33,0.58,,,2.61,b-Myrcene,1.20,b-Caryophyllene,0.55,Limonene,0.40,"Pain relief, Uplifting, Creative","Sugar, Fruit, Herbal","Sweet, Berry, Garlic",SW063025-J35-MS,,Flower,IN-STOCK
Triple Burger,GMO x Double Burger,Indica,29.95,0.91,,,1.92,b-Caryophyllene,0.77,b-Myrcene,0.47,Limonene,0.25,"relaxed, sleepy, tingly","garlic, butter, diesel","ammonia, butter, blue cheese",SW063025-J35-TB,,Flower,IN-STOCK